CNPJ BÁSICO,Nome Municip.,Nome Cnae,DDD 1,TELEFONE 1,DDD 2,TELEFONE 2,CAPITAL SOCIAL,PORTE DA EMPRESA,result
5300472,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32322826,,,"8000000,00",3.0,
1986242,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32156631,,,"0,00",1.0,
5950153,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32187726,32.0,91087029,"147453,00",1.0,
20280897,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"0,00",1.0,
21064910,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,35513353,32.0,35511805,"4600000,00",5.0,
21064910,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"4600000,00",5.0,
21064910,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,35513353,32.0,35511805.0,"4600000,00",5.0,
21064910,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,35513353.0,32.0,35511805.0,"4600000,00",5.0,
21064910,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,35513353,32.0,35511805,"4600000,00",5.0,
21064910,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"4600000,00",5.0,
21064910,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,35513353.0,32.0,35511805.0,"4600000,00",5.0,
2683452,JUIZ DE FORA,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,,,,,"2000,00",5.0,
2697465,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,2122949,,,"138790,00",1.0,
17758905,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,2168447,,,"300000,00",3.0,
1191615,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,88899147,,,"0,00",1.0,
1223236,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32322862,,,"45000,00",3.0,
1223236,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"45000,00",3.0,
19572387,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,88032000,,,"200000,00",1.0,
19572387,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32153591.0,,,"200000,00",1.0,
20448981,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32151327,,,"20000,00",1.0,
38480109,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32125584,,,,,
42963769,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32164739,32.0,88764739.0,"2000000,00",3.0,
25239732,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32365224,,,"700000,00",3.0,
7377232,JUIZ DE FORA,SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINISTRATIVO,,,,,"26000,00",1.0,
25741075,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"0,00",5.0,
64397813,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"0,00",1.0,
86479664,JUIZ DE FORA,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,32.0,21028800,,,"60000,00",1.0,
86479664,JUIZ DE FORA,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,,,,,"60000,00",1.0,
7811744,JUIZ DE FORA,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,32.0,32157661,,,"16000,00",1.0,
7936723,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32391511,32.0,32353681,"1150000,00",5.0,
18137190,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,,,,,"7000000,00",5.0,
4199275,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32150698,,,"0,00",1.0,
4812813,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32117932,,,"0,00",3.0,
26122721,JUIZ DE FORA,GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA,32.0,32157915,,,"5000,00",1.0,
7772697,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,33131727,,,"300000,00",5.0,
2522065,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,33130517,32.0,33130505,"93700,00",1.0,
8211891,JUIZ DE FORA,CONSTRUÇÃO DE EDIFÍCIOS,32.0,32154828,32.0,32156325,"250000,00",1.0,
8742549,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32158108,32.0,32158108,"193100,00",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21016000.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,21049554.0,,,"87206313,34",5.0,
9611768,JUIZ DE FORA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,32.0,32371540.0,,,"87206313,34",5.0,
